                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7644,                 4.3606,                  1.486,                0.78323,                0.10536,                0.32617,                0.19029,                 1.4561,                 3.8137,                 1.1841,             0.00029912,             0.00029912,             0.00029912
                      2,                 1.7913,                 3.5331,                 1.5035,                0.28296,                 0.4454,                0.37964,                0.18417,                 1.8047,                 3.9122,                 1.5325,             0.00059615,             0.00059615,             0.00059615
                      3,                 1.8241,                 3.2396,                 1.5806,                0.39538,                0.46192,                0.41055,                0.18767,                 1.8202,                 2.7608,                 1.5982,             0.00088719,             0.00088719,             0.00088719
                      4,                 1.8368,                 2.9817,                 1.5954,                 0.2953,                0.43451,                0.31645,                 0.1499,                 1.8493,                  3.147,                 1.6257,               0.000882,               0.000882,               0.000882
                      5,                 1.7797,                 2.6052,                 1.5698,                0.37606,                0.59343,                0.46496,                0.22541,                 1.7231,                 2.4588,                 1.5112,               0.000882,               0.000882,               0.000882
                      6,                 1.7904,                 2.4835,                 1.5813,                0.41894,                 0.6166,                0.53328,                0.25017,                 1.8873,                 2.2481,                 1.5975,               0.000873,               0.000873,               0.000873
                      7,                 1.7881,                 2.2508,                 1.5635,                0.54281,                0.56272,                0.56423,                0.26861,                 1.8093,                 1.8527,                 1.5681,               0.000864,               0.000864,               0.000864
                      8,                 1.7837,                 2.1755,                  1.571,                0.68434,                0.49852,                0.55923,                0.27825,                 1.7929,                 1.9067,                 1.5912,             0.00085501,             0.00085501,             0.00085501
                      9,                 1.7649,                 2.0852,                 1.5471,                0.44164,                0.65165,                0.57241,                0.28688,                 1.7041,                 1.8497,                 1.5103,             0.00084601,             0.00084601,             0.00084601
                     10,                 1.7778,                 2.0715,                 1.5594,                 0.5627,                0.73804,                0.68942,                0.34423,                 1.7109,                 1.7015,                 1.4654,             0.00083701,             0.00083701,             0.00083701
                     11,                 1.6922,                 1.9688,                 1.5245,                0.61009,                 0.6922,                0.66257,                0.33124,                 1.8117,                 1.5457,                 1.5545,             0.00082801,             0.00082801,             0.00082801
                     12,                 1.7071,                 1.9282,                 1.5224,                0.61006,                0.69184,                 0.6767,                0.33823,                 1.8498,                 1.5877,                 1.6013,             0.00081901,             0.00081901,             0.00081901
                     13,                 1.6928,                 1.7963,                 1.5096,                0.56602,                0.65522,                0.65698,                0.33301,                 1.8088,                 1.5949,                 1.5491,             0.00081001,             0.00081001,             0.00081001
                     14,                 1.7177,                 1.8292,                  1.541,                 0.5471,                0.57593,                0.54766,                 0.2076,                  2.151,                 1.7449,                 1.8167,             0.00080101,             0.00080101,             0.00080101
                     15,                 1.7121,                  1.778,                 1.5259,                0.54918,                0.59921,                0.61386,                0.28643,                 1.9136,                 1.6148,                 1.6362,             0.00079201,             0.00079201,             0.00079201
                     16,                 1.6842,                  1.757,                 1.4971,                0.52375,                0.61625,                0.57604,                0.23644,                  2.036,                 1.8903,                 1.7432,             0.00078301,             0.00078301,             0.00078301
                     17,                 1.6421,                 1.7124,                 1.4743,                0.61175,                0.72753,                0.72674,                0.40044,                 1.6731,                  1.478,                 1.4548,             0.00077401,             0.00077401,             0.00077401
                     18,                 1.6726,                 1.6791,                 1.4826,                0.60413,                0.68629,                0.67808,                0.35615,                 1.7472,                 1.4903,                 1.5318,             0.00076501,             0.00076501,             0.00076501
                     19,                  1.628,                 1.6637,                 1.4765,                 0.7543,                0.60814,                0.69342,                0.32027,                 1.9161,                 1.5439,                 1.6669,             0.00075602,             0.00075602,             0.00075602
                     20,                 1.6608,                 1.6551,                  1.471,                0.62949,                0.68432,                 0.7093,                0.36311,                 1.7611,                  1.473,                 1.5277,             0.00074702,             0.00074702,             0.00074702
                     21,                 1.6463,                 1.6114,                 1.4734,                0.66253,                0.75721,                0.77543,                0.39559,                 1.6721,                 1.4076,                 1.4588,             0.00073802,             0.00073802,             0.00073802
                     22,                 1.6425,                 1.6057,                 1.4924,                0.58274,                0.68938,                 0.6565,                0.31516,                 1.8266,                 1.5807,                  1.593,             0.00072902,             0.00072902,             0.00072902
