                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.084,                 7.1572,                 4.4164,                  6e-05,                0.03448,                  6e-05,                  2e-05,                 2.7943,                 6.3457,                 4.0818,             0.00032906,             0.00032906,             0.00032906
                      2,                 2.8373,                 5.4077,                 3.6355,                0.05304,                0.45493,                0.08244,                0.02455,                 2.4982,                 10.465,                 3.5725,             0.00065693,             0.00065693,             0.00065693
                      3,                 2.5667,                 5.0172,                 3.2748,                 0.0876,                 0.4014,                0.10987,                0.03393,                 2.3349,                 14.245,                  3.213,              0.0009793,              0.0009793,              0.0009793
                      4,                  2.435,                 4.4883,                 3.0687,                0.58303,                0.33136,                0.19111,                0.05992,                  2.308,                 19.469,                 3.1526,             0.00097525,             0.00097525,             0.00097525
                      5,                 2.3017,                 4.2507,                  2.933,                0.19567,                0.51071,                0.27769,                0.12204,                 2.0389,                 3.8199,                 2.8237,               0.000967,               0.000967,               0.000967
                      6,                 2.2824,                 3.9343,                 2.8702,                0.43178,                0.48096,                0.36309,                 0.1506,                 2.0204,                 3.0406,                 2.8455,             0.00095875,             0.00095875,             0.00095875
                      7,                  2.213,                 3.5617,                 2.7945,                0.31913,                0.18669,                0.21666,                0.08246,                 2.0658,                  3.464,                 2.9527,              0.0009505,              0.0009505,              0.0009505
                      8,                  2.202,                 3.4253,                 2.7905,                0.37976,                0.46911,                0.36497,                0.14659,                 1.9348,                 2.5711,                 2.6475,             0.00094225,             0.00094225,             0.00094225
                      9,                 2.0738,                 3.0317,                  2.658,                0.41742,                0.55338,                0.45052,                0.17022,                 1.9287,                 2.5191,                 2.6536,               0.000934,               0.000934,               0.000934
                     10,                 2.0974,                 3.0482,                 2.7141,                0.34802,                0.46316,                0.39301,                0.16285,                 1.9291,                 2.3781,                 2.6847,             0.00092575,             0.00092575,             0.00092575
