                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1564,                 7.0671,                 4.4417,                  7e-05,                0.03153,                0.00019,                  3e-05,                 2.8709,                 5.8573,                  4.209,             0.00032906,             0.00032906,             0.00032906
                      2,                  3.037,                 5.7226,                 3.9045,                0.00069,                0.19424,                0.01316,                0.00354,                 2.7502,                 5.1366,                 3.9459,             0.00065802,             0.00065802,             0.00065802
                      3,                 2.9363,                 5.1065,                 3.5503,                0.19382,                0.41835,                0.16647,                0.04113,                 2.7956,                 5.1806,                 3.5471,             0.00098258,             0.00098258,             0.00098258
                      4,                 2.8593,                 4.8205,                 3.4506,                0.56514,                0.17987,                0.19895,                0.06487,                 2.5803,                 3.4917,                 3.2269,              0.0009802,              0.0009802,              0.0009802
                      5,                 2.7849,                 4.2735,                 3.3586,                0.39754,                0.26059,                0.25284,                0.07684,                 2.4891,                 3.4758,                 3.1812,              0.0009736,              0.0009736,              0.0009736
                      6,                 2.7635,                 3.9855,                  3.286,                0.24964,                 0.3643,                0.18429,                0.05611,                 2.5171,                 3.3788,                 3.1458,               0.000967,               0.000967,               0.000967
                      7,                 2.6201,                 3.7428,                 3.1652,                0.35881,                 0.3215,                0.23971,                0.08304,                 2.4788,                 2.9392,                 3.0789,              0.0009604,              0.0009604,              0.0009604
                      8,                 2.5461,                 3.5234,                  3.076,                0.84683,                0.15202,                0.27189,                0.09098,                 2.3572,                 2.9898,                  3.024,              0.0009538,              0.0009538,              0.0009538
                      9,                 2.5242,                 3.4766,                 3.0436,                0.49955,                0.27542,                0.18509,                0.07065,                 2.3432,                 6.0575,                  3.065,              0.0009472,              0.0009472,              0.0009472
                     10,                 2.4189,                 3.3521,                 3.0191,                0.35558,                0.37484,                0.22988,                0.08165,                 2.2806,                 2.7297,                 2.9203,              0.0009406,              0.0009406,              0.0009406
                     11,                 2.3901,                  3.175,                 2.9667,                0.25984,                0.35322,                0.24758,                0.08202,                 2.3603,                 2.6934,                 3.0422,               0.000934,               0.000934,               0.000934
                     12,                 2.3691,                 3.1202,                 2.9711,                0.73685,                 0.2242,                0.26154,                  0.112,                 2.2583,                 3.0638,                 2.9407,              0.0009274,              0.0009274,              0.0009274
                     13,                 2.4052,                 3.0604,                 2.9852,                0.24145,                0.42749,                0.34282,                0.13149,                 2.2605,                 2.3688,                 2.9243,              0.0009208,              0.0009208,              0.0009208
                     14,                 2.3299,                 2.9547,                 2.8879,                0.29409,                0.47218,                 0.3065,                0.11444,                 2.1744,                 2.9217,                 2.8377,              0.0009142,              0.0009142,              0.0009142
                     15,                 2.2974,                 2.8924,                 2.8672,                0.32674,                0.41133,                0.36412,                0.14287,                 2.0957,                 2.3269,                 2.8002,              0.0009076,              0.0009076,              0.0009076
                     16,                 2.3077,                   2.95,                 2.8734,                0.30602,                0.38466,                0.32942,                0.13112,                 2.2048,                 2.3045,                 2.8166,               0.000901,               0.000901,               0.000901
                     17,                 2.2802,                 2.8481,                 2.8021,                 0.3245,                0.27396,                0.28433,                0.10612,                 2.1939,                 2.6381,                 2.8585,              0.0008944,              0.0008944,              0.0008944
                     18,                 2.2767,                 2.7699,                 2.8294,                0.40288,                0.46965,                0.44621,                0.15798,                 2.2085,                 2.4168,                 2.8631,              0.0008878,              0.0008878,              0.0008878
                     19,                 2.2293,                 2.7659,                 2.7767,                0.44976,                0.36218,                0.42873,                0.17124,                 2.0605,                 2.3857,                 2.7179,              0.0008812,              0.0008812,              0.0008812
                     20,                 2.2273,                 2.7385,                 2.7814,                 0.4268,                 0.4592,                0.41014,                0.16361,                 2.2367,                 2.4068,                 2.8734,              0.0008746,              0.0008746,              0.0008746
                     21,                 2.1976,                 2.6212,                  2.747,                0.45004,                0.45955,                 0.4434,                0.19385,                 2.0839,                 2.1331,                 2.8009,               0.000868,               0.000868,               0.000868
                     22,                 2.1813,                 2.5406,                 2.7654,                0.44585,                0.49076,                0.46475,                0.20031,                 1.9344,                 2.0847,                 2.6269,              0.0008614,              0.0008614,              0.0008614
                     23,                 2.1246,                 2.5524,                 2.6873,                0.30373,                0.41643,                0.35664,                0.15176,                 1.9731,                 2.1604,                 2.6284,              0.0008548,              0.0008548,              0.0008548
                     24,                 2.1073,                 2.4769,                 2.6524,                0.28299,                0.49183,                0.37606,                 0.1695,                 1.9285,                 2.1432,                 2.5878,              0.0008482,              0.0008482,              0.0008482
                     25,                 2.1134,                 2.4987,                 2.6175,                0.36745,                0.56851,                0.47585,                0.19124,                 1.9994,                 1.9911,                  2.606,              0.0008416,              0.0008416,              0.0008416
                     26,                  2.104,                 2.4312,                 2.6318,                0.45849,                0.54866,                0.47138,                0.22064,                 1.9144,                 2.1259,                  2.536,               0.000835,               0.000835,               0.000835
                     27,                 2.0872,                  2.546,                 2.6564,                0.35981,                0.43921,                0.38264,                0.16708,                 1.9851,                 2.2633,                 2.6169,              0.0008284,              0.0008284,              0.0008284
                     28,                  2.068,                 2.4448,                 2.6155,                0.46766,                0.60656,                 0.5132,                0.22557,                 1.9118,                 1.9379,                 2.5617,              0.0008218,              0.0008218,              0.0008218
                     29,                 2.0478,                 2.3757,                 2.6234,                0.59857,                0.48454,                0.52822,                0.23116,                  2.039,                 2.0429,                  2.591,              0.0008152,              0.0008152,              0.0008152
                     30,                 2.0925,                 2.4366,                 2.6013,                0.42571,                0.54584,                0.50197,                0.20875,                 1.8713,                 1.9565,                 2.4495,              0.0008086,              0.0008086,              0.0008086
                     31,                 2.0775,                 2.3838,                 2.5914,                0.57552,                0.52896,                0.52524,                0.23242,                 1.9206,                 1.9135,                 2.5284,               0.000802,               0.000802,               0.000802
                     32,                 2.0322,                 2.3318,                 2.5454,                0.50271,                0.55254,                0.54262,                0.25803,                 1.8173,                 1.9488,                 2.4228,              0.0007954,              0.0007954,              0.0007954
                     33,                 2.0414,                 2.3354,                 2.5478,                0.54494,                0.58742,                0.59169,                0.29446,                 1.7799,                 1.7585,                  2.396,              0.0007888,              0.0007888,              0.0007888
                     34,                 2.0241,                 2.3338,                 2.5446,                0.43553,                0.53461,                0.50325,                 0.2328,                 1.8347,                 1.9678,                 2.4192,              0.0007822,              0.0007822,              0.0007822
                     35,                 1.9956,                 2.3056,                 2.4946,                0.58759,                0.52817,                0.59573,                0.26014,                 1.9204,                 1.8993,                 2.4891,              0.0007756,              0.0007756,              0.0007756
                     36,                 2.0238,                 2.2722,                 2.5505,                 0.4717,                0.58755,                0.55228,                0.24046,                 1.9206,                 1.9329,                 2.4594,               0.000769,               0.000769,               0.000769
                     37,                 1.9603,                 2.2218,                 2.5155,                0.61737,                0.57094,                0.62537,                0.27487,                 1.9212,                  1.884,                  2.508,              0.0007624,              0.0007624,              0.0007624
                     38,                 1.9808,                 2.2287,                 2.5077,                 0.5222,                0.63389,                0.58129,                0.28034,                 1.8366,                 1.7958,                 2.4687,              0.0007558,              0.0007558,              0.0007558
                     39,                 1.9357,                 2.1844,                 2.4644,                0.53123,                0.56329,                 0.5732,                0.25368,                 1.8856,                 1.8605,                 2.5119,              0.0007492,              0.0007492,              0.0007492
                     40,                 1.9733,                 2.2298,                 2.4882,                0.54767,                 0.6408,                0.61707,                0.26241,                 1.8283,                 1.7644,                 2.3738,              0.0007426,              0.0007426,              0.0007426
                     41,                 1.9775,                 2.2778,                 2.4823,                0.54189,                0.67939,                0.64105,                0.31704,                 1.8528,                 1.7008,                 2.3979,               0.000736,               0.000736,               0.000736
                     42,                 1.9378,                 2.2043,                 2.4774,                0.53613,                0.60534,                0.61615,                0.26558,                 1.8589,                 1.7873,                 2.4309,              0.0007294,              0.0007294,              0.0007294
                     43,                 1.9366,                 2.1745,                 2.4455,                0.48532,                0.66732,                0.60003,                0.26767,                  1.934,                 1.7927,                 2.4535,              0.0007228,              0.0007228,              0.0007228
                     44,                 1.9147,                 2.1751,                 2.4214,                0.37169,                0.56791,                0.49523,                0.24798,                 1.8199,                 1.9877,                 2.4721,              0.0007162,              0.0007162,              0.0007162
                     45,                  1.949,                 2.1764,                 2.4545,                0.53414,                0.64281,                0.59835,                0.26539,                 1.9454,                 1.7531,                 2.5054,              0.0007096,              0.0007096,              0.0007096
                     46,                 1.9195,                  2.137,                 2.4197,                0.60758,                0.61793,                0.65283,                0.31835,                 1.8584,                 1.6891,                 2.3682,               0.000703,               0.000703,               0.000703
                     47,                 1.8997,                 2.1778,                 2.4032,                0.48883,                0.63977,                0.64909,                 0.3416,                 1.7746,                 1.7739,                 2.3267,              0.0006964,              0.0006964,              0.0006964
                     48,                 1.9252,                 2.1429,                 2.4288,                0.51966,                0.58976,                0.61555,                0.28004,                 1.8593,                 1.7202,                 2.3995,              0.0006898,              0.0006898,              0.0006898
                     49,                 1.9039,                 2.1283,                 2.4164,                0.58263,                0.66911,                0.67113,                0.32668,                 1.8709,                 1.6784,                    2.4,              0.0006832,              0.0006832,              0.0006832
                     50,                 1.8693,                 2.0504,                 2.3399,                 0.7738,                0.49032,                0.66893,                0.31384,                 1.8444,                 1.6999,                  2.319,              0.0006766,              0.0006766,              0.0006766
                     51,                 1.8542,                 2.1035,                 2.3571,                0.58909,                0.60674,                0.65268,                0.29542,                 1.8628,                 1.7855,                 2.3539,                0.00067,                0.00067,                0.00067
