                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1824,                 6.1981,                 5.2525,                0.00039,                    0.1,                0.00148,                0.00038,                 2.7704,                 5.6938,                 4.1608,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.0575,                 5.7186,                  4.599,                 0.0004,                    0.1,                0.00222,                0.00059,                 2.7711,                 5.6948,                 4.1634,             0.00020896,             0.00020896,             0.00020896
                      3,                 3.0006,                 5.5015,                 4.3713,                0.00097,                0.07778,                0.00241,                0.00107,                 2.7738,                 5.7097,                 4.1699,             0.00031683,             0.00031683,             0.00031683
                      4,                 3.0274,                 5.3799,                 4.1979,                0.00093,                0.07778,                 0.0066,                0.00401,                 2.7743,                 5.6007,                 4.1805,             0.00042361,             0.00042361,             0.00042361
                      5,                 3.0333,                 5.0997,                 4.0584,                0.00079,                0.08889,                0.00099,                0.00032,                 2.7704,                 5.5259,                 4.1981,             0.00052931,             0.00052931,             0.00052931
                      6,                 3.1123,                   4.92,                 3.9886,                0.00098,                0.08889,                0.00101,                0.00031,                 2.7754,                 5.3794,                 4.2212,             0.00063391,             0.00063391,             0.00063391
                      7,                 3.0072,                 4.6761,                 3.9407,                0.00075,                0.08889,                0.00116,                0.00044,                 2.7786,                 5.0614,                 4.2388,             0.00073743,             0.00073743,             0.00073743
                      8,                 2.9374,                 4.5109,                 3.8826,                0.00041,                    0.1,                0.00132,                0.00045,                 2.7769,                 5.0225,                 4.2619,             0.00083985,             0.00083985,             0.00083985
                      9,                 2.8823,                 4.5152,                 3.7516,                0.00041,                    0.1,                0.00234,                0.00094,                 2.7766,                 4.9071,                 4.2783,             0.00094119,             0.00094119,             0.00094119
                     10,                  2.897,                 4.4907,                 3.7475,                0.00048,                0.08889,                0.00114,                0.00038,                 2.7708,                  4.904,                 4.2977,             0.00095545,             0.00095545,             0.00095545
                     11,                 2.8509,                 4.1941,                 3.6278,                0.00048,                0.08889,                 0.0012,                0.00034,                 2.7597,                 4.9511,                 4.2926,             0.00095545,             0.00095545,             0.00095545
                     12,                 2.7731,                 4.1031,                 3.5658,                0.00051,                0.08889,                 0.0022,                0.00094,                 2.7217,                  4.984,                 4.2618,              0.0009505,              0.0009505,              0.0009505
                     13,                 2.8941,                  4.311,                 3.5721,                0.00048,                0.08889,                0.00136,                0.00042,                 2.6444,                 4.9006,                 4.1594,             0.00094555,             0.00094555,             0.00094555
                     14,                 2.7745,                 4.2196,                 3.5099,                0.00175,                0.33624,                0.06934,                0.01731,                 2.5702,                 4.3141,                 3.6828,              0.0009406,              0.0009406,              0.0009406
                     15,                 2.8197,                 4.1644,                 3.4356,                0.75185,                0.10135,                0.23792,                 0.0831,                 2.4896,                 3.5269,                 3.3266,             0.00093565,             0.00093565,             0.00093565
                     16,                 2.6941,                  4.053,                 3.3231,                0.22831,                 0.2449,                0.22315,                0.06739,                 2.4772,                 3.5395,                 3.1878,              0.0009307,              0.0009307,              0.0009307
                     17,                 2.7827,                 4.0362,                 3.3946,                0.27307,                0.26432,                0.27059,                0.09276,                  2.419,                  3.413,                 3.1099,             0.00092575,             0.00092575,             0.00092575
                     18,                 2.6845,                 3.8118,                 3.3345,                0.60561,                0.19113,                0.27594,                 0.1105,                 2.3517,                 3.2417,                 3.1131,              0.0009208,              0.0009208,              0.0009208
                     19,                 2.6051,                 3.8658,                  3.245,                0.20673,                0.45711,                0.27933,                0.10758,                 2.3726,                 3.3125,                 3.0572,             0.00091585,             0.00091585,             0.00091585
                     20,                 2.6768,                 3.8997,                 3.2977,                0.11542,                0.55758,                0.26844,                0.10933,                 2.3337,                  3.183,                 3.0668,              0.0009109,              0.0009109,              0.0009109
                     21,                 2.6413,                 3.8886,                 3.2538,                0.17689,                0.37551,                0.26675,                0.12054,                 2.3566,                 3.0299,                 3.0689,             0.00090595,             0.00090595,             0.00090595
                     22,                 2.5971,                  3.772,                 3.2368,                0.20459,                0.27891,                 0.2783,                0.11093,                 2.3215,                  3.078,                  3.085,               0.000901,               0.000901,               0.000901
                     23,                 2.6886,                  3.723,                 3.2693,                0.43931,                0.20492,                0.22693,                0.07988,                 2.6222,                 3.3303,                 3.4273,             0.00089605,             0.00089605,             0.00089605
